ZCTA5,Nearest_Hospital_Distance
78624,0.0
78626,21443.710460752613
78628,14228.011802169834
78631,42374.9080871492
78632,28125.82017718949
78633,27182.10579969959
78634,13251.12390486103
78635,36496.178532829894
78636,41783.47640957004
78638,22509.393995026694
78639,28466.653339258184
78640,0.0
78641,12542.333265573752
78642,28470.71341891054
78643,0.0
78645,9365.373353418578
78654,0.0
78659,25880.23306612314
78661,30839.809762839446
78663,24228.041015209696
78665,5176.94817482292
78670,21413.1669263335
78672,33186.05528359149
78676,28108.885838353173
78681,0.0
78703,3023.75272859194
78704,0.0
78722,2710.956499676869
78723,6014.973508971333
78725,15577.655059408737
78727,5486.17234046579
78730,8017.8082465561165
78732,6290.294002350309
78734,0.0
78736,9482.498173095479
78738,7688.764444560887
78742,9958.094899589627
78745,5880.732238007084
78747,15272.675691803188
78753,3784.113531575489
78754,8063.003363707918
78758,0.0
78759,0.0
78827,21304.087185510758
78828,97602.70182048822
78832,68693.0723432174
78834,0.0
78837,38820.734480178915
78840,0.0
78850,52247.96454971167
78872,52791.365441079644
78877,39982.42155414352
78881,75113.55010957632
78885,51196.53683882753
78931,22574.25083668773
78933,26039.419723160645
78935,14451.369446476278
78940,25607.533029019312
78942,32788.510808187035
78945,0.0
78947,54767.99597570288
78949,23859.72185833393
78953,28188.66699836087
78956,22525.506288904977
78963,15468.074254518035
79003,50878.068178355155
79007,59506.648167345505
79010,30228.017628186823
79012,15602.569387298823
79015,35836.34075507635
75558,13777.052968821996
75559,51742.286639046055
75560,36273.70216440603
75561,24760.99310181906
75562,50530.5704411513
75563,56709.474949260635
75565,58388.94192341375
75566,50092.7208671612
75567,22313.05891154779
75568,42578.959637750086
75570,36052.772817233235
75571,23886.09418349964
75573,12498.947373959807
75574,47323.70773414305
75602,9680.32212754048
75604,11554.86950963459
75630,42407.77456784776
75638,37827.621377627554
75640,18044.89263581504
75643,17503.31077024292
75650,16610.195168077284
75652,0.0
75656,51484.61410967808
75668,42803.67451147714
75670,0.0
75682,19092.427683208476
75684,16466.246647595945
75692,36264.55894897655
75693,15487.291147705835
75703,11370.591605132275
75705,13620.562963976497
75707,14054.154941967248
75750,23966.34992471103
75752,22416.907969242773
75755,31762.970977865236
75757,24376.63700961567
75763,32075.012117254733
75765,29873.92294332191
75771,29611.691781639187
75778,34808.334627434706
75783,37719.66853581418
75784,32984.12285243867
75788,40091.37364980126
75791,16098.38357916002
75801,0.0
75831,42651.28616200861
75835,0.0
75839,17540.121242867808
75845,31863.284784701897
75849,16196.558848401297
75852,43181.8398041217
75855,39188.11945771722
75859,21270.616507004834
75861,23771.267333831645
75901,0.0
75925,44664.9740411922
75929,42513.42539643677
75931,22683.778542768654
75936,30210.888704444325
75938,20965.45343851528
75941,19873.886426341203
75943,41634.74956027845
75951,0.0
75956,35200.21766528138
75960,26627.950428973658
75964,28390.64421278935
75966,38761.6828274509
79016,30029.894092544917
79018,75209.69102152405
